0,0,800,1920,580,-0.15,0,0
0,0,-6500,10,7600,-0.1,0,0
0,1910,-6500,10,7600,-0.1,0,0
0,0,-7000,1920,500,-0.1,0,0
1,40,780,40,20,-0.15,0
0,30,760,10,40,-0.15,0,0
0,80,760,10,40,-0.15,0,0
0,0,570,100,130,-0.15,0,0
0,80,500,20,70,-0.15,0,0
0,250,795,50,20,-0.15,1,0
0,200,500,1395,40,-0.15,0,0
0,550,540,30,225,-0.15,0,0
0,1100,660,500,140,-0.15,0,0
0,1570,540,10,90,-0.15,0,0
0,1700,400,300,400,-0.15,0,0
1,25,550,40,20,-0.15,1
0,15,530,10,40,-0.15,0,0
0,65,530,10,40,-0.15,0,0
0,1575,560,40,20,-0.15,0,0
0,1200,300,100,150,-0.15,0,0
0,1300,400,100,50,-0.15,0,0
0,300,300,200,200,-0.15,0,0
0,150,400,60,20,-0.15,0,0
0,180,180,80,20,-0.15,0,0
0,290,100,80,20,-0.15,0,0
0,410,70,80,20,-0.15,0,0
0,510,40,80,20,-0.15,0,0
0,620,10,80,20,-0.15,0,0
0,730,-80,80,20,-0.15,0,0
0,840,-130,80,20,-0.15,0,0
0,1145,-30,65,20,-0.2,0,0
0,1220,-120,10,40,-0.2,0,0
0,1240,0,60,20,-0.2,0,0
0,1340,-40,60,20,-0.2,0,0
0,1450,-190,60,20,-0.15,0,0
0,1450,-310,100,20,-0.15,0,0
0,1700,-310,60,20,-0.15,0,0
0,1800,-410,10,60,-0.15,0,0
0,1700,-410,100,20,-0.15,0,0
0,1700,-500,10,90,-0.15,0,0
0,1845,-310,20,20,-0.15,0,0
0,1815,-300,30,10,-0.3,0,0
0,1800,-490,20,100,-0.15,0,0
0,1400,-490,200,20,-0.15,0,0
0,1500,-580,10,63,-0.15,0,0
0,1400,-600,520,20,-0.15,0,0
1,1800,-620,40,20,-0.15,2
0,1790,-640,10,40,-0.15,0,0
0,1840,-640,10,40,-0.15,0,0
0,600,-600,120,20,-0.3,0,0
0,400,-600,100,20,-0.15,0,0
0,150,-600,150,20,-0.15,0,0
0,100,-700,100,20,-0.15,0,0
0,180,-900,20,200,-0.15,0,0
0,0,-800,50,20,-0.15,0,0
0,0,-1000,200,20,-0.15,0,0
0,0,-1200,200,200,-0.15,0,0
1,30,-1220,40,20,-0.15,3
0,20,-1240,10,40,-0.15,0,0
0,70,-1240,10,40,-0.15,0,0
0,0,-1000,20,400,-0.15,0,0
0,320,-1050,40,20,-0.15,0,0
0,1600,-1050,100,20,-0.35,0,0
0,1560,-950,140,20,-0.25,0,0
